1 [1258]: 1
2 [240]: 4
3 [1292]: 7
4 [512]: 16
5 [679]: 22
6 [234]: 32
7 [600]: 31
8 [277]: 52
9 [530]: 63
10 [120]: 64
11 [298]: 85
12 [71]: 212
13 [420]: 97
14 [187]: 136
15 [172]: 199
16 [88]: 128
17 [127]: 193
18 [62]: 232
19 [209]: 127
20 [62]: 652
21 [164]: 282
22 [50]: 328
23 [200]: 227
24 [44]: 580
25 [82]: 623
26 [37]: 412
27 [100]: 679
28 [16]: 444
29 [79]: 255
30 [41]: 256
31 [93]: 341
32 [44]: 552
33 [121]: 385
34 [37]: 496
35 [56]: 635
36 [18]: 528
37 [60]: 773
38 [28]: 676
39 [33]: 409
40 [14]: 708
41 [56]: 693
42 [16]: 1516
43 [85]: 598
44 [6]: 4288
45 [26]: 1158
46 [11]: 976
47 [30]: 877
48 [14]: 952
49 [37]: 642
50 [8]: 1156
51 [18]: 2182
52 [13]: 512
53 [22]: 1462
54 [26]: 852
55 [45]: 511
56 [20]: 1332
57 [43]: 1179
58 [13]: 2152
59 [37]: 766
60 [6]: 3180
61 [11]: 1282
62 [4]: 5084
63 [46]: 682
64 [9]: 1228
65 [11]: 1162
66 [1]: 1968
67 [19]: 3391
68 [5]: 2308
69 [11]: 2337
70 [3]: 3000
71 [23]: 1202
72 [14]: 2164
73 [22]: 1585
74 [4]: 2372
75 [11]: 1870
76 [6]: 4192
77 [17]: 2497
78 [2]: 3144
79 [7]: 2983
80 [3]: 2452
81 [15]: 2025
82 [7]: 3212
83 [17]: 1807
84 [4]: 4240
85 [9]: 3217
86 [4]: 3160
87 [10]: 3751
88 [4]: 4152
89 [20]: 1657
90 [0]:
91 [13]: 1534
92 [4]: 4360
93 [11]: 1023
94 [6]: 1024
95 [11]: 4231
96 [3]: 2956
97 [6]: 3163
98 [1]: 8272
99 [3]: 3847
100 [5]: 5584
